Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
benzophenone,C047723,119-61-9,Acute Kidney Injury,MESH:D058186,,CYP3A23-3A1,3.24,1
benzyloxyresorufin,C057754,87687-02-3,Acute Kidney Injury,MESH:D058186,,CYP1B1,3.24,1
chrysene,C031180,218-01-9,Acute Kidney Injury,MESH:D058186,,BAX|CYP1B1|GAS6|GSTP1|HMOX1|HSPA1A|IL10|IL6|NFE2L2|NQO1|PPARG|SPP1|TNF|TP53,3.24,15
"ethyl(E,E,E)-7-(2-n-propoxy-5,5,8,8-tetramethyl-5,6,7,8-tetrahydro-naphthalen-3-yl)-6-fluorp-3-methylocta-2,4,6-trienoate",C504648,,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
ethyl myristate,C032396,124-06-1,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
hachimijiogan,C054591,,Acute Kidney Injury,MESH:D058186,,IL10,3.24,1
KCC 009,C510621,,Acute Kidney Injury,MESH:D058186,,GSK3B,3.24,2
liposomal doxorubicin,C506643,,Acute Kidney Injury,MESH:D058186,,BAX|TP53,3.24,2
LY 518674,C479889,,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
methidathion,C005828,950-37-8,Acute Kidney Injury,MESH:D058186,,C3|CCT7|EGFR|GC|GSTP1|HIPK1|NFKB1|PLG|SOD1|UGT1A1|VEGFA,3.24,9
Methylazoxymethanol Acetate,D008746,592-62-1,Acute Kidney Injury,MESH:D058186,,EGFR|TGFBR1,3.24,2
naveglitazar,C517861,,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
Neurotensin,D009496,39379-15-2,Acute Kidney Injury,MESH:D058186,,NFKB1,3.24,1
pacritinib,C561234,,Acute Kidney Injury,MESH:D058186,,GSK3B,3.24,2
Phytanic Acid,D010831,14721-66-5,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
platycodigenin 3-O-(glucopyranosyl-(1-3)-glucopyranosyl)-28-O-(apiofuranosyl-(1-3)-xylopyranosyl-(1-4)-rhamnopyranosyl-(1-2)-arabinopyranoside),C548432,,Acute Kidney Injury,MESH:D058186,,IL10,3.24,1
Pyrilamine,D011738,91-84-9,Acute Kidney Injury,MESH:D058186,,KNG1,3.24,2
quizalofop-ethyl,C064835,76578-14-8,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
ragaglitazar,C432703,,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
salicylamide,C031060,,Acute Kidney Injury,MESH:D058186,,CYP1B1,3.24,1
"S-methyl benzo(1,2,3)thiadiazole-7-carbothioate",C099403,,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
Sulfonylurea Compounds,D013453,,Acute Kidney Injury,MESH:D058186,,CYP2C9,3.24,1
Tetanus Toxoid,D013745,,Acute Kidney Injury,MESH:D058186,,IL10,3.24,1
tetrahydropalmatine,C014215,10097-84-4,Acute Kidney Injury,MESH:D058186,,BAX|GSK3B|HMOX1|PPARG,3.24,6
VIVIT peptide,C121611,,Acute Kidney Injury,MESH:D058186,,IL10,3.24,1
Ceramides,D002518,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.24,1
Chromium,D002857,7440-47-3,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA|SOD2,3.24,2
Glutathione Disulfide,D019803,27025-41-8,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.24,1
Insecticides,D007306,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,POMC,3.24,2
leonurine,C013587,24697-74-3,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.24,1
Phosphocreatine,D010725,67-07-2,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.24,1
